iso,pays,annee,perte_biomasse_Mg,perte_surface_ha
PRT,Portugal,2001,2958900.4935766007,24405.379822220122
PRY,Paraguay,2001,14676374.475238191,150238.7329417735
PSE,Palestine,2001,203.2182549604198,2.2193022776390037
REU,Reunion,2001,6182.979040384991,28.617214131865566
ROU,Roumanie,2001,3106347.922828795,17535.528792149962
RUS,Russie,2001,144296113.80502516,1826602.9954261198
RWA,Rwanda,2001,252500.9275289041,1516.7663207831763
SDN,Soudan,2001,3141.9132917601573,26.94295315939115
SEN,Senegal,2001,8568.34178385934,70.59427484559615
SGP,Singapour,2001,5519.267614262156,43.453894671102226
SLB,Iles Salomon,2001,591721.372064086,2187.1174440041614
SLE,Sierra Leone,2001,2935766.6750865877,18596.42529867086
SLV,Salvador,2001,1422179.9746436516,9499.391624037513
SOM,Somalie,2001,31051.78933879133,339.3039459214387
SRB,Serbie,2001,434336.4150224794,2379.583400470159
SSD,Sud-Soudan,2001,553376.0043063855,4906.033992682083
STP,Sao Tome-et-Principe,2001,20465.32061402028,77.22190501910363
SUR,Suriname,2001,1140566.8136253594,3688.947051985156
SVK,Slovaquie,2001,713047.5507921013,3897.393158988223
SVN,Slovenie,2001,117074.74538975791,615.4603105094271
SWE,Suede,2001,12400537.091917511,144927.2265908673
SWZ,Eswatini,2001,1615522.8171198347,6734.853710662618
SYC,Seychelles,2001,61.18733468258061,0.37957476803600276
SYR,Syrie,2001,30481.012016781962,267.2352947336917
TCA,Iles Turques-et-Caiques,2001,476.0084690980769,7.727203049557708
TCD,Tchad,2001,97573.53962678974,883.6264799284601
TGO,Togo,2001,322016.96077077766,2776.2306162179884
THA,Thailande,2001,8012146.9879230615,36101.943587252776
TJK,Tadjikistan,2001,6775.278441953318,61.537727846655464
TKM,Turkmenistan,2001,4555.465413505647,46.21279328987051
TLS,Timor-Leste,2001,167024.9311715493,677.4261599080287
TTO,Trinite-et-Tobago,2001,349312.7559182852,1829.0960350927812
TUN,Tunisie,2001,27691.16013107668,230.67043467130094
TUR,Turquie,2001,2362684.6023414633,22910.005489408097
TWN,Taiwan,2001,258685.56629038713,1159.0681163379002
TZA,Tanzanie,2001,12671096.292800233,82214.20404098099
UGA,Ouganda,2001,5888705.914267745,29658.947217653244
UKR,Ukraine,2001,4167265.268959091,28826.380197285893
UMI,Iles mineures eloignees des Etats-Unis,2001,,2.1197106802038723
URY,Uruguay,2001,784423.629910202,7647.452722553857
USA,Etats-Unis,2001,305450701.3683367,1943318.7440119707
UZB,Ouzbekistan,2001,30994.19288723223,294.82090200658547
VCT,Saint-Vincent-et-les Grenadines,2001,1493.5609549598053,6.896545779443042
VEN,Venezuela,2001,20249111.027030025,123881.1441170034
VGB,British Virgin Islands,2001,697.2614021007481,4.0925011676539
VIR,Iles Vierges americaines,2001,18424.213658766665,122.51337074738886
VNM,Viet Nam,2001,9994135.062137462,47433.130184436195
VUT,Vanuatu,2001,27203.61470427845,124.33329790796859
XAD,Akrotiri et Dhekelia,2001,163.38085370178106,1.6489892622091076
XKO,Kosovo,2001,205687.35973060026,1122.2054286094624
XNC,Chypre du Nord,2001,1855.3306498348556,17.661583216680516
ZAF,Afrique du Sud,2001,16171859.018301774,77644.69059922767
ZMB,Zambie,2001,5280682.805778213,30123.727104078484
ZWE,Zimbabwe,2001,1255300.0418603744,8205.93418504832
AFG,Afghanistan,2002,22832.017550471137,178.6403638474288
AGO,Angola,2002,8639612.548524324,61034.22726588081
ALA,Iles Aland,2002,25100.181473494653,277.8198770561331
